ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_tps_ss,first_token_sec,kvcache_bytes
2048,2048,961.39,128,18.77,18.92,0.1077,204480564
4096,2048,1050.37,128,18.66,18.67,0.0562,243023924
6144,2048,1023.95,128,18.44,18.45,0.0568,281567284
8192,2048,1004.13,128,18.21,18.21,0.0574,320110644
10240,2048,990.19,128,18.04,18.05,0.0579,358654004
12288,2048,973.07,128,17.86,17.87,0.0585,397197364
14336,2048,951.87,128,17.71,17.72,0.0592,435740724
16384,2048,917.46,128,17.48,17.48,0.0597,474284084
18432,2048,887.86,128,17.26,17.26,0.0605,512827444
20480,2048,868.10,128,17.02,17.02,0.0615,551370804
22528,2048,844.37,128,16.87,16.88,0.0619,589914164
24576,2048,814.81,128,16.70,16.70,0.0624,628457524
26624,2048,795.35,128,16.52,16.53,0.0630,667000884
28672,2048,769.43,128,16.36,16.37,0.0636,705544244
30720,2048,751.47,128,16.19,16.19,0.0643,744087604
32768,2048,737.26,128,16.01,16.02,0.0649,782630964
34816,2048,714.63,128,15.87,15.87,0.0655,821174324
36864,2048,704.35,128,15.71,15.71,0.0660,859717684
38912,2048,688.18,128,15.57,15.58,0.0667,898261044
40960,2048,674.72,128,15.43,15.43,0.0672,936804404
43008,2048,660.57,128,15.27,15.28,0.0679,975347764
45056,2048,644.69,128,15.13,15.14,0.0686,1013891124
47104,2048,630.60,128,14.98,14.99,0.0691,1052434484
49152,2048,622.10,128,14.84,14.85,0.0720,1090977844
51200,2048,611.02,128,14.71,14.71,0.0704,1129521204
53248,2048,599.65,128,14.56,14.56,0.0711,1168064564
55296,2048,587.67,128,14.43,14.43,0.0716,1206607924
57344,2048,580.05,128,14.31,14.31,0.0723,1245151284
59392,2048,566.80,128,14.15,14.15,0.0730,1283694644
61440,2048,560.10,128,14.02,14.02,0.0737,1322238004
63488,2048,550.60,128,13.89,13.89,0.0744,1360781364
65536,2048,541.02,128,13.77,13.77,0.0750,1399324724
