round,context,variant,trial,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_tps_ss
P1,8192,off,1,8192.0,1095.47,64.0,17.96,18.25
P1,8192,on,1,8192.0,1109.43,64.0,17.97,18.25
P1,8192,on,2,8192.0,1108.09,64.0,17.95,18.22
P1,8192,off,2,8192.0,1091.2,64.0,17.94,18.22
P1,8192,off,3,8192.0,1092.85,64.0,17.97,18.24
P1,8192,on,3,8192.0,1105.37,64.0,17.96,18.24
P1,65536,off,1,65536.0,772.19,64.0,13.63,13.78
P1,65536,on,1,65536.0,780.02,64.0,13.63,13.78
P1,65536,on,2,65536.0,780.28,64.0,13.62,13.77
P1,65536,off,2,65536.0,771.69,64.0,13.63,13.78
P1,65536,off,3,65536.0,772.18,64.0,13.62,13.77
P1,65536,on,3,65536.0,778.51,64.0,13.6,13.76
