evidence_kind,round,arm,depth,sample,ctx,prefill_tokens,prefill_tps,gen_tokens,gen_tps,first_token_sec,kvcache_bytes
scout,r1,off,64k,1,65536,65536,780.77,64,13.56,0.1658,1399324724
scout,r1,off,64k,2,65536,65536,777.1,64,13.52,0.168,1399324724
scout,r1,off,64k,3,65536,65536,779.45,64,13.57,0.163,1399324724
scout,r1,off,8k,1,8192,8192,1115.89,64,17.81,0.1488,320110644
scout,r1,off,8k,2,8192,8192,1114.79,64,17.8,0.1519,320110644
scout,r1,off,8k,3,8192,8192,1112.92,64,17.81,0.1534,320110644
scout,r1,on,8k,1,8192,8192,1130.38,64,17.8,0.1524,320110644
scout,r1,on,8k,2,8192,8192,1129.86,64,17.82,0.1497,320110644
scout,r1,on,8k,3,8192,8192,1127.34,64,17.81,0.1508,320110644
scout,r2,off,8k,1,8192,8192,1121.42,64,18.03,0.1508,320110644
scout,r2,off,8k,2,8192,8192,1119.77,64,18.04,0.1507,320110644
scout,r2,off,8k,3,8192,8192,1119.31,64,18.03,0.1508,320110644
scout,r2,on,8k,1,8192,8192,1134.56,64,18.05,0.1489,320110644
scout,r2,on,8k,2,8192,8192,1132.82,64,18.04,0.1497,320110644
scout,r2,on,8k,3,8192,8192,1130.66,64,17.97,0.1513,320110644
scout,r4,off,8k,1,8192,8192,1121.29,64,18.0,0.1492,320110644
scout,r4,off,8k,2,8192,8192,1118.72,64,18.05,0.1474,320110644
scout,r4,off,8k,3,8192,8192,1118.83,64,18.01,0.1447,320110644
scout,r4,on,8k,1,8192,8192,1133.52,64,17.99,0.1529,320110644
scout,r4,on,8k,2,8192,8192,1132.06,64,18.02,0.152,320110644
scout,r4,on,8k,3,8192,8192,1131.33,64,18.02,0.1524,320110644
supplementary_cli,r4,off,8k,1,8192,8192,1121.22,64,18.07,0.1448,320110644
supplementary_cli,r4,on,8k,2,8192,8192,1130.67,64,18.06,0.1447,320110644
supplementary_cli,r4,on,8k,3,8192,8192,1128.77,64,18.03,0.1505,320110644
supplementary_cli,r4,off,8k,4,8192,8192,1115.54,64,18.05,0.1467,320110644
supplementary_cli,r4,on,8k,5,8192,8192,1128.27,64,18.06,0.1488,320110644
supplementary_cli,r4,off,8k,6,8192,8192,1115.07,64,18.05,0.1477,320110644
supplementary_cli,r4,off,8k,7,8192,8192,1115.66,64,18.05,0.1440,320110644
supplementary_cli,r4,on,8k,8,8192,8192,1125.76,64,18.03,0.1492,320110644
