round,context,variant,trial,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_tps_ss,first_token_sec
R1,8192,off,1,8192,1051.14,64,17.40,17.87,0.1531
R1,8192,off,2,8192,1050.54,64,17.38,17.85,0.1543
R1,8192,off,3,8192,1050.86,64,17.42,17.89,0.1520
R1,8192,on,1,8192,1075.76,64,17.35,17.81,0.1517
R1,8192,on,2,8192,1072.86,64,17.44,17.89,0.1483
R1,8192,on,3,8192,1076.09,64,17.45,17.89,0.1478
R1,65536,off,1,65536,733.09,64,13.02,13.27,0.1700
R1,65536,off,2,65536,731.24,64,13.06,13.32,0.1698
R1,65536,off,3,65536,730.89,64,13.06,13.31,0.1701
R1,65536,on,1,65536,928.97,64,13.04,13.30,0.1701
R1,65536,on,2,65536,926.28,64,13.01,13.27,0.1732
R1,65536,on,3,65536,927.50,64,13.02,13.28,0.1731
